Date,Price,Open,High,Low,Vol.,Change %
09/19/2020,"11,074.40","10,928.00","11,101.70","10,918.80",0.06K,1.35%
09/18/2020,"10,927.30","10,927.40","11,010.10","10,873.80",0.08K,0.00%
09/17/2020,"10,927.40","10,948.20","10,948.20","10,854.20",0.07K,-0.19%
09/16/2020,"10,948.20","10,782.00","11,032.10","10,683.80",0.09K,1.54%
09/15/2020,"10,782.00","10,667.30","10,878.20","10,667.30",0.07K,1.08%
09/14/2020,"10,667.30","10,308.20","10,691.80","10,302.00",0.07K,3.48%
09/13/2020,"10,308.20","10,433.80","10,547.00","10,274.50",0.05K,-1.20%
09-12-2020,"10,433.80","10,384.50","10,464.90","10,284.50",0.04K,0.47%
09-11-2020,"10,384.50","10,349.30","10,384.50","10,228.30",0.07K,0.34%
09-10-2020,"10,349.30","10,222.50","10,447.20","10,222.50",0.07K,1.24%
09-09-2020,"10,222.50","10,116.00","10,321.90","9,994.70",0.06K,1.05%
09-08-2020,"10,116.00","10,365.70","10,365.70","9,927.60",0.06K,-2.41%
09-07-2020,"10,365.70","10,248.00","10,365.70","9,936.90",0.07K,1.15%
09-06-2020,"10,248.00","10,165.20","10,248.00","10,087.50",0.05K,0.81%
09-05-2020,"10,165.20","10,454.60","10,499.40","10,073.30",0.12K,-2.77%
09-04-2020,"10,454.60","10,267.50","10,543.30","10,264.20",0.11K,1.82%
09-03-2020,"10,267.50","11,391.90","11,391.90","10,267.50",0.15K,-9.87%
09-02-2020,"11,391.90","11,927.30","11,927.30","11,300.20",0.10K,-4.49%
09-01-2020,"11,927.30","11,656.40","12,002.30","11,608.90",0.09K,2.32%
08/31/2020,"11,656.40","11,707.40","11,728.50","11,616.90",0.04K,-0.44%
08/30/2020,"11,707.40","11,478.70","11,707.40","11,478.70",0.02K,1.99%
08/29/2020,"11,478.70","11,522.60","11,543.90","11,465.00",0.02K,-0.38%
08/28/2020,"11,522.60","11,319.00","11,523.00","11,290.50",0.04K,1.80%
08/27/2020,"11,319.00","11,458.30","11,458.30","11,220.00",0.06K,-1.22%
08/26/2020,"11,458.30","11,337.30","11,494.90","11,284.40",0.05K,1.07%
08/25/2020,"11,337.30","11,753.50","11,756.00","11,229.20",0.08K,-3.58%
